city_nm2,town_nm,交易車位,小坪數物件,建物型態,主要用途,主要建材,有無管理組織,車位類別,電梯,firstfloor_ind,shop_ind,building_type2,col2_ind,villname,都市土地使用分區,非都市土地使用編定,土地移轉總面積(坪),建物移轉總面積(坪),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,車位移轉總面積(坪),主建物面積,附屬建物面積,陽台面積,house_age,交易筆棟數_土地,交易筆棟數_建物,交易筆棟數_停車位,building_area_no_park,single_floor_area,far,floor,total_floor,x座標,y座標,larea_utilize_ratio,park_cnt_flat,park_cnt_mach,n_a_10,n_a_50,n_a_100,n_a_250,n_a_500,n_a_1000,n_a_5000,n_a_10000,n_c_10,n_c_50,n_c_100,n_c_250,n_c_500,n_c_1000,n_c_5000,n_c_10000,area_kilometer,population_density,house_price_index,unemployment_rate,econ_rate,lending_rate,land_tx_count,land_price,steel_id,price_pin
13,100,0,1,2,588,111,0,2,0,0,0,1,0,2649,13,0,1.1325788382313826,2.42090354084729,1.0,1.0,1.0,1.0,0.0,3.1497400860333387,-0.1508228897345836,0.947789398933526,25.711156741957563,1.0,1.0,0.0,2.42090354084729,2.42090354084729,3.626705653021442,4.0,6.0,304076.00355415,2769886.999821807,3.626705653021442,0.0,0.0,0.0,0.0,0.0,5.0,9.0,14.0,22.0,25.0,1.0,6.0,8.0,37.0,79.0,112.0,148.0,157.0,3.310707233485809,704.0,99.09,0.0387,0.0279,0.01678,126867.0,101.3,1099.51,835108.3086613615
13,100,0,1,2,588,111,0,2,0,0,0,1,0,2649,13,0,1.1325788382313826,2.42090354084729,1.0,1.0,1.0,1.0,0.0,3.1497400860333387,-0.1508228897345836,0.947789398933526,25.711156741957563,1.0,1.0,0.0,2.42090354084729,2.42090354084729,3.626705653021442,4.0,6.0,304076.00355415,2769886.999821807,3.626705653021442,0.0,0.0,0.0,0.0,0.0,5.0,9.0,14.0,22.0,25.0,1.0,6.0,8.0,37.0,79.0,112.0,148.0,157.0,2.4302216451362693,27283.0,99.09,0.0387,0.0279,0.01678,126867.0,101.3,1099.51,835108.3086613615
13,100,1,0,3,588,111,1,1,0,0,0,1,1,2649,13,0,2.6275177902102893,4.206327476313677,4.0,2.0,2.0,1.0,0.2652639026044154,4.771362360852162,1.2864740258376797,2.464703942470481,14.30527036276523,1.0,1.0,1.0,4.186708740154463,4.186708740154463,4.754972677595628,4.0,7.0,304074.0035537478,2769901.9998218045,4.754972677595628,0.0,1.0,0.0,0.0,0.0,4.0,10.0,14.0,22.0,25.0,1.0,5.0,7.0,38.0,81.0,112.0,148.0,157.0,2.4302216451362693,27283.0,104.69,0.0369,0.0299,0.01607,129769.0,100.89,630.61,1024225.0499005788
13,100,1,0,3,588,111,1,1,0,0,0,1,1,2649,13,0,2.6275177902102893,4.206327476313677,4.0,2.0,2.0,1.0,0.2652639026044154,4.771362360852162,1.2864740258376797,2.464703942470481,14.30527036276523,1.0,1.0,1.0,4.186708740154463,4.186708740154463,4.754972677595628,4.0,7.0,304074.0035537478,2769901.9998218045,4.754972677595628,0.0,1.0,0.0,0.0,0.0,4.0,10.0,14.0,22.0,25.0,1.0,5.0,7.0,38.0,81.0,112.0,148.0,157.0,3.310707233485809,704.0,104.69,0.0369,0.0299,0.01607,129769.0,100.89,630.61,1024225.0499005788
13,100,1,0,3,588,111,1,1,0,0,0,1,1,2649,13,0,2.6275177902102893,4.206327476313677,5.0,2.0,2.0,1.0,0.0,4.771362360852162,1.2864740258376797,2.464703942470481,12.060232717316904,1.0,1.0,1.0,4.206327476313677,4.206327476313677,4.849180327868852,3.0,7.0,304066.0035521692,2769909.9998218133,4.849180327868852,0.0,1.0,0.0,0.0,0.0,4.0,10.0,14.0,22.0,25.0,0.0,5.0,6.0,38.0,80.0,112.0,148.0,157.0,2.4302216451362693,27283.0,100.6,0.0371,0.0371,0.0163,125720.0,100.56,1285.04,1102673.4242666385
13,100,1,0,3,588,111,1,1,0,0,0,1,1,2649,13,0,2.6275177902102893,4.206327476313677,5.0,2.0,2.0,1.0,0.0,4.771362360852162,1.2864740258376797,2.464703942470481,12.060232717316904,1.0,1.0,1.0,4.206327476313677,4.206327476313677,4.849180327868852,3.0,7.0,304066.0035521692,2769909.9998218133,4.849180327868852,0.0,1.0,0.0,0.0,0.0,4.0,10.0,14.0,22.0,25.0,0.0,5.0,6.0,38.0,80.0,112.0,148.0,157.0,3.310707233485809,704.0,100.6,0.0371,0.0371,0.0163,125720.0,100.56,1285.04,1102673.4242666385
13,100,0,0,3,588,111,1,2,0,0,0,1,0,2649,13,0,2.826995524003969,4.147425507808689,3.0,2.0,2.0,1.0,0.0,4.842768758271886,2.5733752977756086,2.747270914255491,7.73990417522245,1.0,1.0,0.0,4.147425507808689,4.147425507808689,3.7450313339301697,4.0,6.0,304172.00357309944,2769897.999821652,3.7450313339301697,0.0,0.0,0.0,0.0,0.0,5.0,9.0,14.0,22.0,25.0,0.0,2.0,15.0,44.0,79.0,115.0,148.0,157.0,2.4302216451362693,27283.0,104.69,0.0369,0.0299,0.01607,129769.0,100.89,977.23,1103192.7789868645
13,100,0,0,3,588,111,1,2,0,0,0,1,0,2649,13,0,2.826995524003969,4.147425507808689,3.0,2.0,2.0,1.0,0.0,4.842768758271886,2.5733752977756086,2.747270914255491,7.73990417522245,1.0,1.0,0.0,4.147425507808689,4.147425507808689,3.7450313339301697,4.0,6.0,304172.00357309944,2769897.999821652,3.7450313339301697,0.0,0.0,0.0,0.0,0.0,5.0,9.0,14.0,22.0,25.0,0.0,2.0,15.0,44.0,79.0,115.0,148.0,157.0,3.310707233485809,704.0,104.69,0.0369,0.0299,0.01607,129769.0,100.89,977.23,1103192.7789868645
13,100,1,0,3,588,111,1,0,0,0,0,1,1,2649,13,0,2.8278903786498124,4.329181149419021,3.0,2.0,2.0,1.0,2.5345872903814644,4.842768758271886,2.5733752977756086,2.747270914255491,5.034907597535934,1.0,1.0,1.0,4.1474255078086895,4.1474255078086895,3.741681574239714,2.0,6.0,304173.00357329834,2769896.999821652,3.741681574239714,1.0,0.0,0.0,0.0,0.0,5.0,9.0,14.0,22.0,25.0,0.0,3.0,15.0,44.0,79.0,115.0,148.0,157.0,3.310707233485809,704.0,99.86,0.0369,0.0264,0.01656,128454.0,101.8,1006.4,1161671.4793056522
13,100,1,0,3,588,111,1,0,0,0,0,1,1,2649,13,0,2.8278903786498124,4.329181149419021,3.0,2.0,2.0,1.0,2.5345872903814644,4.842768758271886,2.5733752977756086,2.747270914255491,5.034907597535934,1.0,1.0,1.0,4.1474255078086895,4.1474255078086895,3.741681574239714,2.0,6.0,304173.00357329834,2769896.999821652,3.741681574239714,1.0,0.0,0.0,0.0,0.0,5.0,9.0,14.0,22.0,25.0,0.0,3.0,15.0,44.0,79.0,115.0,148.0,157.0,2.4302216451362693,27283.0,99.86,0.0369,0.0264,0.01656,128454.0,101.8,1006.4,1161671.4793056522
13,100,1,0,3,588,111,1,0,0,0,0,1,1,2649,13,0,2.822149422803117,4.173474545797387,3.0,2.0,2.0,1.0,0.6944213684376759,4.835170178098788,2.586259144048288,2.747270914255491,4.292950034223135,1.0,1.0,1.0,4.142152498131509,4.142152498131509,3.743432889528608,4.0,6.0,304186.00357587734,2769883.999821634,3.743432889528608,1.0,0.0,0.0,0.0,0.0,5.0,9.0,14.0,22.0,25.0,0.0,7.0,15.0,44.0,81.0,114.0,148.0,157.0,2.4302216451362693,27283.0,100.69,0.0403,0.0212,0.01695,121175.0,101.55,826.7,1232956.4818794322
13,100,1,0,3,588,111,1,0,0,0,0,1,1,2649,13,0,2.822149422803117,4.173474545797387,3.0,2.0,2.0,1.0,0.6944213684376759,4.835170178098788,2.586259144048288,2.747270914255491,4.292950034223135,1.0,1.0,1.0,4.142152498131509,4.142152498131509,3.743432889528608,4.0,6.0,304186.00357587734,2769883.999821634,3.743432889528608,1.0,0.0,0.0,0.0,0.0,5.0,9.0,14.0,22.0,25.0,0.0,7.0,15.0,44.0,81.0,114.0,148.0,157.0,3.310707233485809,704.0,100.69,0.0403,0.0212,0.01695,121175.0,101.55,826.7,1232956.4818794322
13,100,0,0,3,588,111,1,2,1,0,0,1,0,2649,22,0,1.5522377330161,3.575773044101949,5.0,2.0,3.0,1.0,0.0,4.562575788355671,0.7701082216960737,2.063058062429312,33.85352498288843,1.0,1.0,0.0,3.575773044101949,3.575773044101949,7.565022421524665,8.0,8.0,304108.00356051046,2769794.9998217896,7.565022421524665,0.0,0.0,0.0,0.0,1.0,5.0,9.0,15.0,22.0,25.0,0.0,6.0,12.0,50.0,80.0,113.0,148.0,157.0,2.4302216451362693,27283.0,108.17,0.0374,0.053,0.01361,174702.0,102.54,1292.26,1088398.049113682
13,100,0,0,3,588,111,1,2,1,0,0,1,0,2649,22,0,1.5522377330161,3.575773044101949,5.0,2.0,3.0,1.0,0.0,4.562575788355671,0.7701082216960737,2.063058062429312,33.85352498288843,1.0,1.0,0.0,3.575773044101949,3.575773044101949,7.565022421524665,8.0,8.0,304108.00356051046,2769794.9998217896,7.565022421524665,0.0,0.0,0.0,0.0,1.0,5.0,9.0,15.0,22.0,25.0,0.0,6.0,12.0,50.0,80.0,113.0,148.0,157.0,3.310707233485809,704.0,108.17,0.0374,0.053,0.01361,174702.0,102.54,1292.26,1088398.049113682
13,100,0,1,2,588,111,0,2,0,0,0,1,0,2649,13,0,1.1413125182001371,2.533387242235527,1.0,1.0,1.0,1.0,0.0,3.327550841493857,0.2776317365982795,1.423108334242607,25.516769336071185,1.0,1.0,0.0,2.533387242235527,2.533387242235527,4.023188405797102,3.0,6.0,304155.0035698015,2769773.999821723,4.023188405797102,0.0,0.0,0.0,0.0,2.0,6.0,9.0,15.0,22.0,25.0,0.0,2.0,12.0,49.0,77.0,113.0,148.0,157.0,3.310707233485809,704.0,99.86,0.0369,0.0264,0.01656,128454.0,101.8,1052.5,746262.7321154961
13,100,0,1,2,588,111,0,2,0,0,0,1,0,2649,13,0,1.1413125182001371,2.533387242235527,1.0,1.0,1.0,1.0,0.0,3.327550841493857,0.2776317365982795,1.423108334242607,25.516769336071185,1.0,1.0,0.0,2.533387242235527,2.533387242235527,4.023188405797102,3.0,6.0,304155.0035698015,2769773.999821723,4.023188405797102,0.0,0.0,0.0,0.0,2.0,6.0,9.0,15.0,22.0,25.0,0.0,2.0,12.0,49.0,77.0,113.0,148.0,157.0,2.4302216451362693,27283.0,99.86,0.0369,0.0264,0.01656,128454.0,101.8,1052.5,746262.7321154961
13,100,0,0,2,588,111,1,2,0,0,0,1,0,2649,13,0,0.6109740802105648,2.66231511542442,1.0,1.0,1.0,1.0,0.0,3.29842610362621,0.0,0.959350221334602,0.4544832306639288,2.0,1.0,0.0,2.66231511542442,2.66231511542442,7.778325123152711,12.0,14.0,304204.0035794754,2769816.999821631,7.778325123152711,0.0,0.0,0.0,0.0,1.0,6.0,9.0,15.0,22.0,25.0,0.0,5.0,11.0,47.0,76.0,114.0,148.0,157.0,2.4302216451362693,27283.0,100.63,0.0381,0.0229,0.01622,128923.0,100.22,1264.69,1339900.2402399257
13,100,0,0,2,588,111,1,2,0,0,0,1,0,2649,13,0,0.6109740802105648,2.66231511542442,1.0,1.0,1.0,1.0,0.0,3.29842610362621,0.0,0.959350221334602,0.4544832306639288,2.0,1.0,0.0,2.66231511542442,2.66231511542442,7.778325123152711,12.0,14.0,304204.0035794754,2769816.999821631,7.778325123152711,0.0,0.0,0.0,0.0,1.0,6.0,9.0,15.0,22.0,25.0,0.0,5.0,11.0,47.0,76.0,114.0,148.0,157.0,3.310707233485809,704.0,100.63,0.0381,0.0229,0.01622,128923.0,100.22,1264.69,1339900.2402399257
13,100,1,0,0,588,111,1,0,0,0,0,1,1,2649,13,0,1.802056274705423,4.096222797233873,0.0,0.0,0.0,0.0,2.518385751132993,4.488524003868771,1.5602476682433286,1.754403682684286,0.0985626283367556,2.0,1.0,1.0,3.865020492457752,3.865020492457752,7.869261477045909,2.0,14.0,304218.0035822426,2769826.999821604,7.869261477045909,1.0,0.0,0.0,0.0,1.0,6.0,9.0,15.0,22.0,25.0,0.0,5.0,13.0,46.0,76.0,115.0,148.0,157.0,2.4302216451362693,27283.0,100.08,0.0342,0.0342,0.01627,129999.0,100.11,1324.79,1295062.8088692308
13,100,1,0,0,588,111,1,0,0,0,0,1,1,2649,13,0,1.802056274705423,4.096222797233873,0.0,0.0,0.0,0.0,2.518385751132993,4.488524003868771,1.5602476682433286,1.754403682684286,0.0985626283367556,2.0,1.0,1.0,3.865020492457752,3.865020492457752,7.869261477045909,2.0,14.0,304218.0035822426,2769826.999821604,7.869261477045909,1.0,0.0,0.0,0.0,1.0,6.0,9.0,15.0,22.0,25.0,0.0,5.0,13.0,46.0,76.0,115.0,148.0,157.0,3.310707233485809,704.0,100.08,0.0342,0.0342,0.01627,129999.0,100.11,1324.79,1295062.8088692308
